norm_id	document_id	section_id	page	formulation_sha256	page_text_match_status
N-GEN-001	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-001	6	ce0d2996525e2f6ced8ce2900dbd80ef0e6c25cbbc66bfef8982f71538b4653a	PASS
N-GEN-002	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-002	6	67ddf717041c8c7ddbb2f02c7e478466585292b80ce8d0e9853135f388504130	PASS
N-GEN-003	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-003	7	d816d668db30129ceee24d630eaba6d7bfd0b494f8601089f7b637e7dc3e415d	PASS
N-GEN-004	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-004	7	08a236babf0db73c54986791e57e8727828e66cb80ea62cf3e43cba0c007ed26	PASS
N-GEN-005	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-005	8	ed3a58e08a31840294a2d0d09f0add9db11eb4399b08dbe9e538d9c17302045c	PASS
N-GEN-006	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-006	8	5d05d39111cd722d8cdd36b880fc04dc3bed0d7f19f6017ecd5ab57284823d9b	PASS
N-GEN-007	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-007	9	2f1886d41204888a75508056a3e5441f038e8f4475014775ff8649f1d55d8983	PASS
N-GEN-008	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-008	9	80660c85b9c3507354618ff96a9806bd1a5dd15d5765a4e45b5aa5eb7eeb3944	PASS
N-GEN-009	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-009	10	b5e34e118fdcc722f138e7652ca5c3371abde721039253a6a5efc689ecc06193	PASS
N-GEN-010	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-010	10	8f321b84f518539c38b0d51db4d479044dd75c7437c92ce43ef8505f615958bb	PASS
N-GEN-011	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-011	11	dd8dce72aed2e1bb2ab68900205b784a51d4efc7e9ff5ba50ff4f08538e61a51	PASS
N-GEN-012	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-012	11	87ef979b7760f342684fa7f06413e8b8b03aca1b4c60fc9a53720a3c8bbe4621	PASS
N-GEN-013	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-013	12	a20976d51fd8ae39e2e902c943f537ffccc22db761d973efaedcb9c66e1391f4	PASS
N-GEN-014	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-014	12	e237d1faeca2ac7c4acdced53e2ee6731f29b104ccd2125c617dd0f901dbe962	PASS
N-GEN-015	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-015	13	8a1b805832ec54cea1a8853e89b5a0b1c72bb389d4a57e4cb9daf1b589285bbf	PASS
N-GEN-016	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-016	13	558bb559d49fdb24516a7a5a844b69ad408eb5d57fea0271f4cf4f6dc2b2c324	PASS
N-GEN-017	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-017	14	3649c11ecfc152657de480eccdb68c207fc766c59230a53dce7cd565bf1de946	PASS
N-GEN-018	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-018	14	af8caeea69d7db3d9121091fd1166accdfa607b33ca8ff6d6e6afc45742448c0	PASS
N-GEN-019	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-019	15	b8eaecd358eddd20b859152a641b57e2b074d4426e0817e13577a51395d9428c	PASS
N-GEN-020	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-020	15	a03512ba3fb92e008317690f099faae7014e45cb584fc6e70f677d38bb1b987a	PASS
N-GEN-021	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-021	16	86d9f9821b4228b2a6cea3ab2c0cf9d5bc9289dca526dc63c208a26a9144815a	PASS
N-GEN-022	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-022	16	d1f601cab91cc8fd28c0a405c66130fc11a4da686508653da6b5e9ec914c7b2f	PASS
N-GEN-023	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-023	17	236688bcfea3a933383127f3829420957d0ad4165552a2f953c1d563584636cd	PASS
N-GEN-024	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-024	17	9b7cbf6a9f9de0363d77f451ec599394798b9736af321063ae8ee9429583d0cb	PASS
N-GEN-025	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-025	18	d897f7a5bd2b1b64596b6af48bb64634ee9578cf1c263e806f60a9d6f199e3b2	PASS
N-GEN-026	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-026	18	c9eed62b2f61d732ba6c2e0b4e340029614f44e2cc1afbc3cfff27f3e4eeec58	PASS
N-GEN-027	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-027	19	a160a76f21fe786f8d239045c063c39c0d108f0b54633ffc7adb1ed992bdabc7	PASS
N-GEN-028	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-028	19	3fc226283fbe8fb3b60cbae1b1264af18d92914126a4084feefc1f05039323d9	PASS
N-GEN-029	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-029	20	a3ac2209882fdbbabba54b7e2666f5273536ededcb892ad5deb429803b9eec20	PASS
N-GEN-030	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-030	20	62f80676e5e9e6b306c0096e37b6b317bc9c473b8f13fca23f76d52b415b4c6a	PASS
N-GEN-031	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-031	21	6b01966276b7048b0faf1e704dc43feef5713c9a19aebc19f4aeba70f629731e	PASS
N-GEN-032	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-032	21	55288c7cd0b5a1fecbf184b4a0e176e32244c4659a4149a34b2d5e39a0aefd66	PASS
N-GEN-033	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-033	22	db4c0f0df220a27b8d49bdd85200d732490da5aefdddc0fa5162b42b6f6f5cab	PASS
N-GEN-034	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-034	22	0d8bd1dc67352fb030b964bd7d979b4f3b84a3dfd481c800f71da4e675285f72	PASS
N-GEN-035	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-035	23	8871e587cd6567a441548ea266318d7176ef848313734d35efca385dbc511fe2	PASS
N-GEN-036	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-036	23	643f75edc06df45c22083861b14360eafa0b57c6affdac337106466b356e3775	PASS
N-GEN-037	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-037	24	4301c12acde6040eb85b31eef8d05c9a8d7209a78794352f14611ddb4d6cbd5c	PASS
N-GEN-038	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-038	24	e997d3e5efd006d38279ef8141f4703979e10080fef3a5e6a2dc8895f732e193	PASS
N-GEN-039	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-039	25	4ecbdbbcc73c1f688cc45b04b9d9b158f64116218aed54e07c3a3098dec392e2	PASS
N-GEN-040	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-040	25	caccd8698520c1166f15c19b960ad68919dfa360455c3c11947ff1374d4414d3	PASS
N-GEN-041	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-041	26	e84125d960f5398f35fea52da373e92da330b6b4c550f67459d9954f7dfd628a	PASS
N-GEN-042	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-042	26	e7e61c6d7eac6ab4f1cfbdb992496be641ee4593ca69d889df172e5ac5a39b3b	PASS
N-GEN-043	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-043	27	53c665f458bc00aebda5cc069f7edb80cebfdbe8b237c58a633ade3230254f0f	PASS
N-GEN-044	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-044	27	1dad8c720d24a000e125069c2d16c00ff7e9186dbcfeaf58a0efa11c7f4e810f	PASS
N-GEN-045	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-045	28	873342c8fe5591f40f55faf046690d4681804ef566322ca0b2f728c9d4e4d5c4	PASS
N-GEN-046	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-046	28	77a007ca40d60e4bda4b1ad7947b46bab68cb11b8bdd68361f605109449b9743	PASS
N-GEN-047	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-047	29	79ea58204746f4447559abd45c5293ae5eec65a4c1245e4bae433b821840a905	PASS
N-GEN-048	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-048	29	8fbb2f1f394fea5bacc660b0c29c0ca06d396bbc3fb3ce107c227868158fadf2	PASS
N-GEN-049	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-049	30	37bb61916d392a8b4e7b37c222b261b546459531e7671c4ac71de1a5521a2d96	PASS
N-GEN-050	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-050	30	ea9c6ed07f3cb696fdbdfd55105292964131735eae0a94a2f0f70b44b0e7dc8a	PASS
N-GEN-051	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-051	31	d6c4c900284583608435f69b4d5ae35b717a79c44ebd6b211b8014f76f28f1e8	PASS
N-GEN-052	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-052	31	6317cb92ad6e86b65ff9b4299b134a75ae1287cbd8a4d9d6cf81ab23db067f5e	PASS
N-GEN-053	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-053	32	c96ac6166e4a977e609fafcb9ffe36bffe6162a12e6235f6ce2bed8ab392848d	PASS
N-GEN-054	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-054	32	44169d341031310798a6738ab637accd26e3e8c164a6cb0402f9a51c5776cd63	PASS
N-GEN-055	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-055	33	c9ef1227d004979d34734e2d2fc4ea8c77f090133e9613e7483dd73724b3c670	PASS
N-GEN-056	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-056	33	99ba1f5b07b3de8ae793c836923e310cbae07106c968a36634d3250094683e5a	PASS
N-GEN-057	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-057	34	2de7aa92986572614f73111bfa5433864dbd5cd99156547f637f7dc4d883c3ba	PASS
N-GEN-058	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-058	34	5681474f551d11c6afd5cd19ce8187fb83dadaf09071dfa2ab187e2f711c4b19	PASS
N-GEN-059	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-059	35	921df52189632e1eff8de6e851052a141843222b16d3eaf203a968e460fea0e8	PASS
N-GEN-060	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-060	35	8687041339ec40165b90fd80d9f7b5253e3e2d5e0e13df50db7f865a5679854e	PASS
N-GEN-061	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-061	36	2661925687500eccf2b978cd1bf06115130ac553693e5d964cbba4278bbb0300	PASS
N-GEN-062	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-062	36	95e44111fb8e51b032ef0488b6f7143747c82bb710cadd240c27beb827088fca	PASS
N-GEN-063	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-063	37	541ca1d8d88a35728a8b6bc5fe2c5b5f1b72cca1d01aac5397c9b95d9390079c	PASS
N-GEN-064	01_BOIS_Base_Core_v2.22_EN.pdf	n-gen-064	37	0f8be93473faeceb05c713d7a89060c8faabb15509032cdf21ac9e3b7ac3c715	PASS
